"id","name","partner_id/id","partner_shipping_id/id","partner_invoice_id/id","date_order","order_line/product_id/id","order_line/name","order_line/product_uom_qty","order_line/product_uom/id","order_line/id","order_line/price_unit"
"__export__.sale_order_93_c9100c5e","SO093","__export__.res_partner_1871_1007d58d","__export__.res_partner_1871_1007d58d","__export__.res_partner_1871_1007d58d","2018-05-05 04:13:40","__export__.product_product_319_d1980b64","[ED0011] Cosmo D's - Chocolate - Edible bar - 100mg Extra Toasted Coconut - 100mg
Cannabis  infused artisan chocolate bar topped with dark  chocolate, white chocolate and shredded coconut.  5 to 10mg of thc  per section; 100mg per bar. ","12.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_760_38053bd4","9.0"
"","","","","","","__export__.product_product_317_d69ea626","[ED0009] Cosmo D's - Chocolate - Edible bar - Hazy Hazelnut - 100mg
Cannabis infused Dark chocolate & Hazelnut bar.","12.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_761_64668ce9","9.0"
"","","","","","","__export__.product_product_318_28d7caf7","[ED0010] Cosmo D's - Chocolate - Edible bar - Cosmic Berry Crunch - 100mg
Cannabis infused artisan chocolate bar topped with an assortment of dried berries and white chocolate.  5 to 10mg of thc  per section; 100mg per bar. ","12.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_762_c00cd0fb","9.0"
"","","","","","","__export__.product_product_320_908cfc0d","[ED0012] Cosmo D's - Chocolate - Edible bar - Chocolate Vegan Crumble - 100mg
Cannabis  infused artisan chocolate bar topped with fig, currants and  granola.  5 to 10mg of thc  per section; 100mg per bar. ","12.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_763_02b2e3e8","9.0"
"","","","","","","__export__.product_product_324_a6250e07","[ED0016] Purple Mountain - Edibles - Chew - Hemp Leaf / 100% CBD ","110.0","product.product_uom_unit","__export__.sale_order_line_793_5069abd8","4.5"
"","","","","","","__export__.product_product_332_047a643d","[TP0005] Sacred Biology -  - CBD Lip Balm - 25mg","110.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_794_624b29b2","4.75"
"","","","","","","__export__.product_product_333_110a35a5","[TP0006] Sacred Biology -  - CBD Deodorant - 50mg","50.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_795_70966756","10.0"
"","","","","","","__export__.product_product_408_4f9d9f78","[CO0022] Spliffin - Vape Cartridge - Maverick Disposable - Dante's Fire Indica - 0.3ml
Premium indica extract disposable 300mg vape pen. Named after the Dante, the eldest brother of enigmatic cannabis activist Alexis Montez, this super potent varietal is powerfully euphoric and cloaked in mystique. Its true origins remain unknown. According to accounts from Amsterdam breeders, the strain originated from clandestine Soviet experimentation.","40.0","product.product_uom_unit","__export__.sale_order_line_796_d05b9f24","12.0"
"","","","","","","__export__.product_product_409_f43a2eda","[CO0023] Spliffin - Vape Cartridge - Maverick Disposable - Super Spliffin Haze Sativa - 0.3ml
premium cannabis extract disposable vape pen.","40.0","product.product_uom_unit","__export__.sale_order_line_797_3c2232df","12.0"
"","","","","","","__export__.product_product_403_3f659aa5","[CO0017] Spliffin - Vape Cartridge - Pure Dante's Fire Indica - 0.5ml
Premium cannabis extract 500mg vape cartridge. Named after the Dante, the eldest brother of enigmatic cannabis activist Alexis Montez, this super potent varietal is powerfully euphoric and cloaked in mystique. Its true origins remain unknown. According to accounts from Amsterdam breeders, the strain originated from clandestine Soviet experimentation.","45.0","product.product_uom_unit","__export__.sale_order_line_798_78217120","11.0"
"","","","","","","__export__.product_product_402_71ac1f32","[CO0016] Spliffin - Vape Cartridge - Pure Donna OG Indica - 0.5ml
Premium cannabis extract 500mg vape cartridge. “The Donna” is a signature cross of two indica dominated OG varietals known for its dreamy euphoria, deep relaxation, and ability to arouse energy and creativity. ","45.0","product.product_uom_unit","__export__.sale_order_line_799_63fad6be","11.0"
"","","","","","","__export__.product_product_405_75569eb2","[CO0019] Spliffin - Vape Cartridge - Pure Tangie Sativa - 0.5ml
Premium cannabis extract 500mg vape cartridge. Developed from the 2013 Cannabis Cup winning sativa, Tangie is the people’s champion. This sought-after strain conquered 10 competitions in 10 months – every one it entered. This cross of California Orange and an enigmatic skunk hybrid was developed by Amsterdam’s DNA genetics in 1995. Easily the most popular of Spliffin’s signature varietals, many consider Tangie to be an improvement on the beloved Tangerine Dream.","45.0","product.product_uom_unit","__export__.sale_order_line_800_e4886187","11.0"
"","","","","","","__export__.product_product_404_1fa0deb7","[CO0018] Spliffin - Vape Cartridge - Pure Spliffin OG Indica - 0.5ml
Premium cannabis extract 500mg vape cartridge. The stress crusher of Indicas. Born of a classic OG x Larry OG cross, Spliffin OG is unparalleled for its relaxation and sleep enhancement properties. This varietal comes on like a wave of relief melting away your worries. This indica dominant hybrid has a sedative like body buzz and a reputation for bringing on the munchies. The “Lemon” Larry addition balances out the classic OG’s deep relaxation with mental stimulation, allowing you to relax while getting things done. ","45.0","product.product_uom_unit","__export__.sale_order_line_801_1515254c","11.0"
"","","","","","","__export__.product_product_407_85146a8e","[CO0021] Spliffin - Vape Cartridge - Pure Super Spliffin Haze Sativa - 0.5ml
Premium cannabis extract vape cartridge. ","45.0","product.product_uom_unit","__export__.sale_order_line_802_02cdcb23","11.0"
"","","","","","","__export__.product_product_406_a7f83e90","[CO0020] Spliffin - Vape Cartridge - Pure Helio Jack Sativa - 0.5ml
Premium cannabis extract vape cartridge. ","45.0","product.product_uom_unit","__export__.sale_order_line_803_6007a3e8","11.0"
"","","","","","","__export__.product_product_374_a788085c","[ED0028] Endodrops Ginger Citrus 300mg CBD 20oz","22.0","product.product_uom_unit","__export__.sale_order_line_804_c7884bb4","15.0"
"","","","","","","__export__.product_product_375_814500b9","[ED0027] Endo - Endodrops Berry 300mg CBD 2oz","22.0","product.product_uom_unit","__export__.sale_order_line_805_70007b9f","15.0"
"","","","","","","__export__.product_product_376_1eaf3f4b","[ED0029] Endodrops Spearmint 300mg CBD 2oz","22.0","product.product_uom_unit","__export__.sale_order_line_806_ecdecb75","15.0"
"","","","","","","__export__.product_product_357_d74e0a7e","[BE0002] Endo - Endowater - Cucumber - 500ml
CBD infused with premium hemp extract. Naturally flavored, Sugar free & PH balanced.","240.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_807_a67ea60c","1.85"
"","","","","","","__export__.product_product_358_a02b1d83","[BE0003] Endo - Endowater - Lemon Lime - 500ml
CBD infused with premium hemp extract. Naturally flavored, Sugar free & PH balanced.","240.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_808_323a4ad7","1.85"
"","","","","","","__export__.product_product_359_356f838e","[BE0004] Endo - Endowater - Berry Acai - 500ml
CBD infused with premium hemp extract. Naturally flavored, Sugar free & PH balanced.","240.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_809_55ed8b26","1.85"
"","","","","","","__export__.product_product_360_e2a5edf6","[BE0007] Endo - Endowater - Watermelon - 500ml
CBD infused with premium hemp extract. Naturally flavored, Sugar free & PH balanced.","240.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_810_80a2c916","1.85"
"","","","","","","__export__.product_product_593_5211302e","[BE006] Endo - Endowater - Pure - 500ml
CBD infused with premium hemp extract. Naturally flavored, Sugar free & PH balanced.","0.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_811_c29edfb6","1.85"
"","","","","","","__export__.product_product_600_5ba5127b","[CO0050] Neutron Genetics - Sauce - Girl Scout Cookies - 0.5g","10.0","product.product_uom_unit","__export__.sale_order_line_812_030e6d6f","26.0"
"","","","","","","__export__.product_product_601_e81e4c6f","[CO0051] Neutron Genetics - Sauce - Skywalker OG - 0.5g","10.0","product.product_uom_unit","__export__.sale_order_line_813_bbdaa25b","26.0"
"","","","","","","__export__.product_product_558_387c66c3","[CO0042] Neutron Genetics - Sauce - Strawberry Lemonade - 0.5g","10.0","product.product_uom_unit","__export__.sale_order_line_814_0690ddc8","26.0"
"","","","","","","__export__.product_product_602_e68cbcd3","[CO0052] Neutron Genetics - Sauce - Gelato - 0.5g","10.0","product.product_uom_unit","__export__.sale_order_line_815_ec3f50e2","26.0"
